lsms_id,country,cluster_id,year,lat,lon,asset_index,n
et_01010201403_2011,et,01010201403,2011,14.2885896726,38.210251919,-2.3241459812447713,5
et_01010201403_2015,et,01010201403,2015,14.2885896726,38.210251919,-2.0306340277615593,5
et_01010300106_2011,et,01010300106,2011,14.1097608206,38.4738350524,0.9462980376768508,6
et_01010300106_2015,et,01010300106,2015,14.1097608206,38.4738350524,1.3485017666951076,6
et_01010301804_2011,et,01010301804,2011,13.8440840301,38.4803250395,-2.1945134240861943,5
et_01010301804_2015,et,01010301804,2015,13.8440840301,38.4803250395,-1.9252873105433443,5
et_01010600402_2011,et,01010600402,2011,13.642517176,38.1191822345,-2.4699195084619063,4
et_01010600402_2015,et,01010600402,2015,13.642517176,38.1191822345,-1.1797769336009616,4
et_01020100207_2011,et,01020100207,2011,14.2834679193,38.5730157222,-1.1174758116142163,4
et_01020100207_2015,et,01020100207,2015,14.2834679193,38.5730157222,-2.0659524887878247,4
et_01020200802_2011,et,01020200802,2011,14.3007959467,39.0594892637,-2.4634517780789977,4
et_01020200802_2015,et,01020200802,2015,14.3007959467,39.0594892637,-2.209724629525498,4
et_01020301001_2011,et,01020301001,2011,14.1583566438,39.2258474475,-2.4962915487889603,4
et_01020301001_2015,et,01020301001,2015,14.1583566438,39.2258474475,-2.331037941717653,4
et_01020401702_2011,et,01020401702,2011,14.0859773206,38.9755077144,-1.561065099762559,4
et_01020401702_2015,et,01020401702,2015,14.0859773206,38.9755077144,-1.3922770737649053,4
et_01020601301_2011,et,01020601301,2011,13.985946938,38.6492990176,-1.5740299105120599,7
et_01020601301_2015,et,01020601301,2015,13.985946938,38.6492990176,-1.3210703850931782,7
et_01020800603_2011,et,01020800603,2011,13.781326561,38.9865118422,-2.483268845346262,4
et_01020800603_2015,et,01020800603,2015,13.781326561,38.9865118422,-2.3150819268183933,4
et_01020900602_2011,et,01020900602,2011,13.691822766,39.2019014551,-2.2660865203775633,4
et_01020900602_2015,et,01020900602,2015,13.691822766,39.2019014551,-2.397772236659072,4
et_01030100204_2011,et,01030100204,2011,14.4559615944,39.4790823741,-1.3140251931159832,5
et_01030100204_2015,et,01030100204,2015,14.4559615944,39.4790823741,-0.07754323683957205,5
et_01030300605_2011,et,01030300605,2011,14.2527065254,39.6508902034,-0.4550613623491447,3
et_01030300605_2015,et,01030300605,2015,14.2527065254,39.6508902034,-1.0744462194175415,3
et_01030400101_2011,et,01030400101,2011,14.3192174691,39.2715992602,-1.7733666034941846,5
et_01030400101_2015,et,01030400101,2015,14.3192174691,39.2715992602,-0.6410866368824525,5
et_01030501202_2011,et,01030501202,2011,13.9843705066,39.5331294187,-2.2466042378569866,5
et_01030501202_2015,et,01030501202,2015,13.9843705066,39.5331294187,-1.6988036720201627,5
et_01030700116_2011,et,01030700116,2011,13.8426043605,39.7196438594,-0.09156754551984461,4
et_01030700116_2015,et,01030700116,2015,13.8426043605,39.7196438594,0.17537904714452515,4
et_01030700709_2011,et,01030700709,2011,13.895387614,39.7873002106,-0.6803594450801036,4
et_01030700709_2015,et,01030700709,2015,13.895387614,39.7873002106,-1.2866362787478747,4
et_01040101204_2011,et,01040101204,2011,13.2349577336,39.1634392625,-2.0703493992510316,5
et_01040101204_2015,et,01040101204,2015,13.2349577336,39.1634392625,-1.9068583535779826,5
et_01040400103_2011,et,01040400103,2011,13.01685124,39.3671636164,-2.534096348409685,5
et_01040400103_2015,et,01040400103,2015,13.01685124,39.3671636164,-1.9174394762876548,5
et_01040500701_2011,et,01040500701,2011,12.7826268158,39.3068867968,-2.1337906729302607,4
et_01040500701_2015,et,01040500701,2015,12.7826268158,39.3068867968,-2.117274366519999,4
et_01040800402_2011,et,01040800402,2011,12.6209662316,39.4244520175,-2.3906507537719297,4
et_01040800402_2015,et,01040800402,2015,12.6209662316,39.4244520175,-1.6715574869520498,4
et_01050100105_2011,et,01050100105,2011,14.1819914938,36.4799930893,-1.2044491727424613,5
et_01050100105_2015,et,01050100105,2015,14.1819914938,36.4799930893,-0.8613236668209897,5
et_01050200201_2011,et,01050200201,2011,14.0872350664,37.5015263838,-1.8535734951356644,4
et_01050200201_2015,et,01050200201,2015,14.0872350664,37.5015263838,-1.780689565177904,4
et_01050200712_2011,et,01050200712,2011,13.6709932967,37.4064256501,-0.748501594613292,4
et_01050200712_2015,et,01050200712,2015,13.6709932967,37.4064256501,-0.9726458566364398,4
et_01050201503_2011,et,01050201503,2011,13.731570436,37.3672533162,-2.281271487673762,5
et_01050201503_2015,et,01050201503,2015,13.731570436,37.3672533162,-1.4662307849216962,5
et_01050301501_2011,et,01050301501,2011,13.4774390358,37.121337842,-1.991972989349788,4
et_01050301501_2015,et,01050301501,2015,13.4774390358,37.121337842,-0.8108954366334005,4
et_01050302304_2011,et,01050302304,2011,13.5160575022,37.6273155648,-2.291993644809501,3
et_01050302304_2015,et,01050302304,2015,13.5160575022,37.6273155648,-0.8844349188548799,3
et_02010300102_2011,et,02010300102,2011,11.6895323459,41.3481202391,-1.975708848389617,5
et_02010300102_2015,et,02010300102,2015,11.6895323459,41.3481202391,-1.9879541279265887,5
et_02010400201_2011,et,02010400201,2011,11.5223288693,41.5692958857,-2.0912832347366708,5
et_02010400201_2015,et,02010400201,2015,11.5223288693,41.5692958857,-1.9533843880871355,5
et_02010500404_2011,et,02010500404,2011,11.6284538153,40.8825663765,-1.927699794464482,6
et_02010500404_2015,et,02010500404,2015,11.6284538153,40.8825663765,-1.1469348269818198,6
et_02010501103_2011,et,02010501103,2011,11.2140035523,40.2055920948,-2.265644243542525,5
et_02010501103_2015,et,02010501103,2015,11.2140035523,40.2055920948,-1.1620471196865902,5
et_02030200102_2011,et,02030200102,2011,9.24924684111,40.0598560794,-2.561971090208886,4
et_02030200102_2015,et,02030200102,2015,9.24924684111,40.0598560794,-2.4005785355055833,4
et_02030400601_2011,et,02030400601,2011,9.51787068443,40.1647901335,-1.975708848389617,5
et_02030400601_2015,et,02030400601,2015,9.51787068443,40.1647901335,-1.1689457019939433,5
et_02030600601_2011,et,02030600601,2011,9.67897313862,39.913593504,-2.0468445016117944,10
et_02030600601_2015,et,02030600601,2015,9.67897313862,39.913593504,-2.277663847052051,10
et_03010100204_2011,et,03010100204,2011,13.3722274393,37.7898736298,-2.15702417020983,4
et_03010100204_2015,et,03010100204,2015,13.3722274393,37.7898736298,-2.4566137929159906,4
et_03010400901_2011,et,03010400901,2011,13.2058110304,37.7876552215,-2.5774472563285844,3
et_03010400901_2015,et,03010400901,2015,13.2058110304,37.7876552215,-2.6469016746896408,3
et_03010800701_2011,et,03010800701,2011,12.805251571,37.4183801156,-1.4712222067242913,5
et_03010800701_2015,et,03010800701,2015,12.805251571,37.4183801156,-0.768810691110016,5
et_03011100102_2011,et,03011100102,2011,12.556392241,37.3118585142,-0.35016058050677024,4
et_03011100102_2015,et,03011100102,2015,12.556392241,37.3118585142,-0.6308655302344257,4
et_03011200203_2011,et,03011200203,2011,12.8017155321,36.93031443,-2.5948108609188485,5
et_03011200203_2015,et,03011200203,2015,12.8017155321,36.93031443,-2.5415531016644337,5
et_03011400816_2011,et,03011400816,2011,12.3910703535,35.9335894324,-1.833591404679224,4
et_03011400816_2015,et,03011400816,2015,12.3910703535,35.9335894324,-1.145135644508356,4
et_03011602804_2011,et,03011602804,2011,12.3059878852,37.8380133833,-2.177620169594401,3
et_03011602804_2015,et,03011602804,2015,12.3059878852,37.8380133833,-2.3221625209619696,3
et_03012000105_2011,et,03012000105,2011,12.9196896354,37.032969423,-1.2426174014229159,5
